380,0.000113
385,0.000094
390,0.000085
395,0.000081
400,0.000066
405,0.000053
410,0.000047
415,0.000044
420,0.000045
425,0.000048
430,0.000049
435,0.000053
440,0.000063
445,0.000075
450,0.000092
455,0.000096
460,0.000098
465,0.000101
470,0.000106
475,0.000114
480,0.000127
485,0.000136
490,0.00015
495,0.000173
500,0.000204
505,0.000256
510,0.000325
515,0.000396
520,0.000409
525,0.000417
530,0.000434
535,0.000452
540,0.000474
545,0.000511
550,0.000565
555,0.000596
560,0.000619
565,0.000642
570,0.000695
575,0.000772
580,0.000896
585,0.0011
590,0.001351
595,0.001672
600,0.002224
605,0.002577
610,0.002644
615,0.002678
620,0.002755
625,0.002834
630,0.002916
635,0.003012
640,0.003108
645,0.00325
650,0.0034
655,0.00371
660,0.0041
665,0.00429
670,0.00439
675,0.00448
680,0.00465
685,0.00486
690,0.00516
695,0.00559
700,0.00624
705,0.00704
710,0.00827
715,0.01007
720,0.01231
725,0.01489
